id,name,brand,category,category_id,price,base_price,discount_percent,sku,available,currency,url,image,timestamp,source
1792,Line X Compact Blue,Unknown,Tütün və tütün məhsulları,tutun-ve-tutun-mehsullari-292,2.9,2.9,0,line-x-compact-blue,True,AZN,https://www.arazmarket.az/az/products/line-x-compact-blue-1792,https://b7x9kq.arazmarket.az/storage/products/1000013108.png,2026-02-06 08:59:20,arazmarket
1794,Keno Compact Red,Unknown,Tütün və tütün məhsulları,tutun-ve-tutun-mehsullari-292,3.0,3.0,0,keno-compact-red,True,AZN,https://www.arazmarket.az/az/products/keno-compact-red-1794,https://b7x9kq.arazmarket.az/storage/products/1000018962.png,2026-02-06 08:59:20,arazmarket
1795,Dunhill Premium Blue,Unknown,Tütün və tütün məhsulları,tutun-ve-tutun-mehsullari-292,5.1,5.1,0,dunhill-premium-blue,True,AZN,https://www.arazmarket.az/az/products/dunhill-premium-blue-1795,https://b7x9kq.arazmarket.az/storage/products/1000012994.png,2026-02-06 08:59:20,arazmarket
1796,West Compact Brilliant White,Unknown,Tütün və tütün məhsulları,tutun-ve-tutun-mehsullari-292,3.4,3.4,0,west-compact-brilliant-white,True,AZN,https://www.arazmarket.az/az/products/west-compact-brilliant-white-1796,https://b7x9kq.arazmarket.az/storage/products/1000013590.png,2026-02-06 08:59:20,arazmarket
1798,Want Line X Red,Unknown,Tütün və tütün məhsulları,tutun-ve-tutun-mehsullari-292,2.9,2.9,0,want-line-x-red,True,AZN,https://www.arazmarket.az/az/products/want-line-x-red-1798,https://b7x9kq.arazmarket.az/storage/products/1000015485.png,2026-02-06 08:59:20,arazmarket
1799,Imperial Classic Compact Blue,Unknown,Tütün və tütün məhsulları,tutun-ve-tutun-mehsullari-292,3.1,3.1,0,imperial-classic-compact-blue,True,AZN,https://www.arazmarket.az/az/products/imperial-classic-compact-blue-1799,https://b7x9kq.arazmarket.az/storage/products/1000013720.png,2026-02-06 08:59:20,arazmarket
1800,West Compact Silver,Unknown,Tütün və tütün məhsulları,tutun-ve-tutun-mehsullari-292,3.4,3.4,0,west-compact-silver,True,AZN,https://www.arazmarket.az/az/products/west-compact-silver-1800,https://b7x9kq.arazmarket.az/storage/products/1000013747.png,2026-02-06 08:59:20,arazmarket
1801,Line X Compact Red,Unknown,Tütün və tütün məhsulları,tutun-ve-tutun-mehsullari-292,2.9,2.9,0,line-x-compact-red,True,AZN,https://www.arazmarket.az/az/products/line-x-compact-red-1801,https://b7x9kq.arazmarket.az/storage/products/1000013353.png,2026-02-06 08:59:20,arazmarket
1803,Dunhill Premium White,Unknown,Tütün və tütün məhsulları,tutun-ve-tutun-mehsullari-292,5.1,5.1,0,dunhill-premium-white,True,AZN,https://www.arazmarket.az/az/products/dunhill-premium-white-1803,https://b7x9kq.arazmarket.az/storage/products/1000013410.png,2026-02-06 08:59:20,arazmarket
1804,Davidoff C Sl,Unknown,Tütün və tütün məhsulları,tutun-ve-tutun-mehsullari-292,4.8,4.8,0,davidoff-c-sl,True,AZN,https://www.arazmarket.az/az/products/davidoff-c-sl-1804,https://b7x9kq.arazmarket.az/storage/products/1000013748.png,2026-02-06 08:59:20,arazmarket
